user_id,channel,record_datetime,duration_hhmmss,gender,age,province,age_group,time_of_day,seconds_viewed
809000,Vuzu,2016-01-03T20:34:00.000Z,1899-12-31T00:02:04.500Z,male,47,Gauteng,adults,Evening,124
809000,Channel O,2016-01-05T05:06:00.000Z,1899-12-31T00:01:06.000Z,male,47,Gauteng,adults,Morning,66
809000,CNN,2016-03-04T07:17:00.000Z,1899-12-31T00:00:54.000Z,male,47,Gauteng,adults,Morning,54
809000,SuperSport Blitz,2016-03-12T20:20:00.000Z,1899-12-31T00:02:22.000Z,male,47,Gauteng,adults,Evening,142
809000,Africa Magic,2016-03-10T02:28:00.000Z,1899-12-31T00:11:23.500Z,male,47,Gauteng,adults,Night,683
771876,Trace TV,2016-01-31T11:28:00.000Z,1899-12-31T00:04:54.000Z,male,25,North West,youth,Morning,294
771876,Boomerang,2016-02-07T17:54:00.000Z,1899-12-31T00:00:36.000Z,male,25,North West,youth,Evening,36
771876,Supersport Live Events,2016-01-29T12:37:00.000Z,1899-12-31T00:00:00.000Z,male,25,North West,youth,Afternoon,0
771876,Boomerang,2016-01-31T13:03:00.000Z,1899-12-31T00:00:00.000Z,male,25,North West,youth,Afternoon,0
771876,Trace TV,2016-02-06T06:14:00.000Z,1899-12-31T00:37:36.000Z,male,25,North West,youth,Morning,2256
771876,Cartoon Network,2016-02-06T14:08:00.000Z,1899-12-31T00:03:31.000Z,male,25,North West,youth,Afternoon,211
771877,M-Net,2016-01-29T19:43:00.000Z,1899-12-31T00:02:35.000Z,male,25,Northern Cape,youth,Evening,155
771877,SawSee,2016-01-31T18:38:00.000Z,1899-12-31T00:13:58.000Z,male,25,Northern Cape,youth,Evening,838
2359733,Channel O,2016-01-26T21:50:00.000Z,1899-12-31T00:08:33.000Z,male,43,Gauteng,adults,Night,513
809006,Supersport Live Events,2016-02-15T23:54:00.000Z,1899-12-31T00:00:42.000Z,male,31,Gauteng,youth,Night,42
809006,Trace TV,2016-02-16T13:23:00.000Z,1899-12-31T00:02:00.000Z,male,31,Gauteng,youth,Afternoon,120
891747,Supersport Live Events,2016-03-24T13:44:00.000Z,1899-12-31T00:28:02.000Z,male,46,Gauteng,adults,Afternoon,1682
601422,Supersport Live Events,2016-01-09T15:41:00.000Z,1899-12-31T00:39:48.000Z,female,10,Western Cape,children,Afternoon,2388
866215,Trace TV,2016-03-07T16:00:00.000Z,1899-12-31T00:04:03.000Z,male,22,Kwazulu Natal,youth,Afternoon,243
939668,Channel O,2016-03-11T06:29:00.000Z,1899-12-31T00:13:30.000Z,male,21,Mpumalanga,youth,Morning,810
939668,E! Entertainment,2016-03-12T06:57:00.000Z,1899-12-31T00:18:34.000Z,male,21,Mpumalanga,youth,Morning,1114
939668,SuperSport Blitz,2016-03-12T17:12:00.000Z,1899-12-31T00:01:40.000Z,male,21,Mpumalanga,youth,Evening,100
939668,Channel O,2016-03-12T18:50:00.000Z,1899-12-31T00:00:42.000Z,male,21,Mpumalanga,youth,Evening,42
416232,Boomerang,2016-02-13T05:15:00.000Z,1899-12-31T00:00:00.000Z,None,0,None,children,Morning,0
793652,Supersport Live Events,2016-03-24T08:50:00.000Z,1899-12-31T00:00:20.000Z,male,32,Eastern Cape,youth,Morning,20
830884,CNN,2016-03-11T12:26:00.000Z,1899-12-31T00:12:21.000Z,male,50,Gauteng,adults,Afternoon,741
809008,Channel O,2016-03-03T19:19:00.000Z,1899-12-31T00:01:06.000Z,male,28,Northern Cape,youth,Evening,66
809008,MK,2016-03-03T18:38:00.000Z,1899-12-31T00:00:21.000Z,male,28,Northern Cape,youth,Evening,21
809008,Africa Magic,2016-03-05T10:06:00.000Z,1899-12-31T00:22:55.500Z,male,28,Northern Cape,youth,Morning,1375
809008,SuperSport Blitz,2016-03-05T13:47:00.000Z,1899-12-31T00:03:12.000Z,male,28,Northern Cape,youth,Afternoon,192
809008,Cartoon Network,2016-02-28T14:28:00.000Z,1899-12-31T00:03:57.000Z,male,28,Northern Cape,youth,Afternoon,237
809008,ICC Cricket World Cup 2011,2016-03-09T12:11:00.000Z,1899-12-31T00:00:38.000Z,male,28,Northern Cape,youth,Afternoon,38
809008,SuperSport Blitz,2016-03-01T19:15:00.000Z,1899-12-31T00:05:20.000Z,male,28,Northern Cape,youth,Evening,320
771881,Boomerang,2016-03-22T07:26:00.000Z,1899-12-31T00:00:21.000Z,male,31,Gauteng,youth,Morning,21
771881,Africa Magic,2016-01-18T13:54:00.000Z,1899-12-31T00:00:17.500Z,male,31,Gauteng,youth,Afternoon,17
771881,Africa Magic,2016-01-20T17:07:00.000Z,1899-12-31T00:00:07.000Z,male,31,Gauteng,youth,Evening,7
771881,Supersport Live Events,2016-03-20T15:52:00.000Z,1899-12-31T00:00:22.000Z,male,31,Gauteng,youth,Afternoon,22
771882,Cartoon Network,2016-01-25T16:43:00.000Z,1899-12-31T00:00:19.000Z,male,27,Gauteng,youth,Afternoon,19
771882,Africa Magic,2016-01-20T10:37:00.000Z,1899-12-31T00:00:44.500Z,male,27,Gauteng,youth,Morning,44
771882,Cartoon Network,2016-02-17T23:09:00.000Z,1899-12-31T00:01:14.000Z,male,27,Gauteng,youth,Night,74
930047,SuperSport Blitz,2016-03-28T15:36:00.000Z,1899-12-31T00:00:04.000Z,male,40,Gauteng,adults,Afternoon,4
809010,Cartoon Network,2016-02-14T09:36:00.000Z,1899-12-31T00:00:05.000Z,male,31,Gauteng,youth,Morning,5
809010,Cartoon Network,2016-02-16T14:34:00.000Z,1899-12-31T00:07:11.000Z,male,31,Gauteng,youth,Afternoon,431
809010,Trace TV,2016-02-16T09:44:00.000Z,1899-12-31T00:04:30.000Z,male,31,Gauteng,youth,Morning,270
939673,SuperSport Blitz,2016-03-28T11:20:00.000Z,1899-12-31T00:04:36.000Z,male,29,Western Cape,youth,Morning,276
764396,Supersport Live Events,2016-01-24T19:41:00.000Z,1899-12-31T00:04:54.000Z,male,52,Eastern Cape,adults,Evening,294
764396,CNN,2016-01-25T08:39:00.000Z,1899-12-31T00:12:00.000Z,male,52,Eastern Cape,adults,Morning,720
764396,Boomerang,2016-01-08T03:51:00.000Z,1899-12-31T00:14:33.000Z,male,52,Eastern Cape,adults,Night,873
764396,Cartoon Network,2016-01-22T03:48:00.000Z,1899-12-31T00:01:00.000Z,male,52,Eastern Cape,adults,Night,60
764396,Cartoon Network,2016-01-18T05:37:00.000Z,1899-12-31T00:00:18.000Z,male,52,Eastern Cape,adults,Morning,18
809011,Supersport Live Events,2016-02-20T05:28:00.000Z,1899-12-31T00:00:22.000Z,male,48,Western Cape,adults,Morning,22
809011,SuperSport Blitz,2016-02-20T14:30:00.000Z,1899-12-31T00:00:00.000Z,male,48,Western Cape,adults,Afternoon,0
809011,SuperSport Blitz,2016-02-21T18:34:00.000Z,1899-12-31T00:01:00.000Z,male,48,Western Cape,adults,Evening,60
809011,Supersport Live Events,2016-02-19T13:27:00.000Z,1899-12-31T00:58:30.000Z,male,48,Western Cape,adults,Afternoon,3510
809011,ICC Cricket World Cup 2011,2016-02-25T10:31:00.000Z,1899-12-31T00:06:32.000Z,male,48,Western Cape,adults,Morning,392
809011,Supersport Live Events,2016-02-25T07:54:00.000Z,1899-12-31T00:04:34.000Z,male,48,Western Cape,adults,Morning,274
809011,DStv Events 1,2016-02-27T10:18:00.000Z,1899-12-31T00:01:00.000Z,male,48,Western Cape,adults,Morning,60
875048,ICC Cricket World Cup 2011,2016-03-15T08:53:00.000Z,1899-12-31T00:00:00.000Z,male,25,Gauteng,youth,Morning,0
721900,SawSee,2016-02-06T19:20:00.000Z,1899-12-31T00:00:00.000Z,None,0,None,children,Evening,0
831775,M-Net,2016-03-13T08:41:00.000Z,1899-12-31T00:00:12.000Z,male,34,Eastern Cape,youth,Morning,12
